iter	Passed	Remaining
0	1	103
1	2	106
2	3	97
3	3	88
4	4	86
5	5	83
6	6	83
7	7	84
8	8	83
9	9	82
10	10	80
11	10	79
12	11	77
13	12	77
14	13	76
15	14	75
16	15	74
17	16	73
18	17	72
19	18	72
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	22	65
26	23	63
27	24	62
28	25	61
29	26	60
30	26	59
31	27	58
32	28	57
33	29	57
34	30	56
35	30	54
36	31	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	48
42	36	48
43	37	47
44	38	46
45	39	45
46	39	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	44	39
53	45	39
54	46	38
55	47	37
56	48	36
57	49	35
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	54	30
64	54	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	59	24
71	60	23
72	61	22
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	72	11
86	73	11
87	74	10
88	75	9
89	76	8
90	76	7
91	77	6
92	78	5
93	79	5
94	80	4
95	80	3
96	81	2
97	82	1
98	83	0
99	83	0
